"SYMBOL","uniprot","kegg","ID","human_log2FoldChange","human_padj","human_sig","mouse_SYMBOL","mouse_log2FoldChange","mouse_padj","mouse_sig","sig"
"FIG4","Q92562","9896","hsa00562",1.363476323,0.108839451,"none","Fig4",3.500464463,2.03e-24,"up","none"
"FUT2","A8K2L2","2524","hsa00601",-4.249696441,0.002388506,"down","Fut2",-1.610349939,0.279352019,"none","none"
"FUT4","P22083","2526","hsa00601",-3.425490887,1.24e-10,"down","Fut4",2.140495149,0.351441316,"none","none"
"FUT9","Q9Y231","10690","hsa00601",-8.556096738,4.49e-07,"down","Fut9",3.923477817,0.000200349,"up","diff"
"G6PC2","Q9NQR9","57818","hsa00052",-2.484531716,NA,NA,"G6pc2",-6.830499425,1.41e-05,"down",NA
"G6PC3","Q9BUM1","92579","hsa00052",3.364236265,1.28e-10,"up","G6pc3",3.178411276,1.04e-06,"up","same"
"G6PD","P11413","2539","hsa00480",0.827699707,0.475124078,"none","G6pdx",-3.21931336,6.65e-28,"down","none"
"GAA","P10253","2548","hsa00052",-1.681106047,0.007500551,"down","Gaa",4.131016379,2.08e-58,"up","diff"
"GAD2","Q05329","2572","hsa00650",-5.636270979,0.12602727,"none","Gad2",-8.974725315,3.08e-14,"down","none"
"GADL1","Q6ZQY3","339896","hsa00770",-6.450608938,0.013686069,"down","Gadl1",-4.324535706,0.26996407,"none","none"
"GALE","Q14376","2582","hsa00520",3.521990308,1.49e-12,"up","Gale",0.040442536,0.958323353,"none","none"
"GALK1","P51570","2584","hsa00520",4.406938926,7.96e-08,"up","Galk1",4.821343031,3.78e-49,"up","same"
"GALM","Q96C23","130589","hsa00052",1.232416008,0.023592335,"none","Galm",-2.312256797,3.67e-06,"down","none"
"GALT","A0A0S2Z3Y7","2592","hsa00052",-0.239176646,0.878304501,"none","Galt",1.542003383,5.93e-06,"up","none"
"GAMT","Q14353","2593","hsa00330",3.757751887,2.9e-07,"up","Gamt",1.914180209,0.211802062,"none","none"
"GAPDH","P04406","2597","hsa00010",3.989475285,6.03e-16,"up","Gapdh",2.71789341,7.85e-09,"up","same"
