"SYMBOL","uniprot","kegg","ID","human_log2FoldChange","human_padj","human_sig","mouse_SYMBOL","mouse_log2FoldChange","mouse_padj","mouse_sig","sig"
"NT5E","P21589","4907","hsa00240",-3.678754537,0.094543225,"none","Nt5e",5.578160878,3.86e-09,"up","none"
"NTPCR","Q5TDE9","84284","hsa00230",2.845585743,2.38e-08,"up","Ntpcr",0.530088558,0.740699319,"none","none"
"NUDT16","Q96DE0","131870","hsa00230",-1.346293532,0.071839588,"none","Nudt16",5.894485659,0.000255536,"up","none"
"NUDT2","P50583","318","hsa00240",-0.857540587,0.148582449,"none","Nudt2",2.545867019,0.001161797,"up","none"
"NUDT5","Q9UKK9","11164","hsa00230",3.404801379,9.3e-17,"up","Nudt5",-1.221227823,0.000909161,"none","none"
"OAT","A0A140VJQ4","4942","hsa00330",0.196801034,0.757536371,"none","Oat",-2.07472489,7.1e-23,"down","none"
"OCRL","Q01968","4952","hsa00562",-1.691064378,0.00936018,"down","Ocrl",0.919568491,0.000415478,"none","none"
"OGDHL","Q9ULD0","55753","hsa00020",-0.01990492,0.990442693,"none","Ogdhl",3.076178148,1.16e-07,"up","none"
"OLAH","Q9NV23","55301","hsa00061",3.122584174,0.002976191,"up","Olah",-7.487981856,5.01e-25,"down","diff"
"OXCT1","A0A024R040","5019","hsa00280",-4.580641958,0.004951327,"down","Oxct1",2.002367608,1.73e-11,"up","diff"
"P4HA1","P13674","5033","hsa00330",-0.7759202,0.185287999,"none","P4ha1",1.950301011,2.8e-13,"up","none"
"P4HA2","O15460","8974","hsa00330",-2.600793084,0.003352565,"down","P4ha2",-0.822302745,0.00309849,"none","none"
"P4HA3","Q7Z4N8","283208","hsa00330",-6.555296253,0.010681045,"down","P4ha3",-3.525315024,0.070808596,"none","none"
"PANK1","Q8TE04","53354","hsa00770",2.441129099,0.000305039,"up","Pank1",3.48425796,4.86e-05,"up","same"
"PANK3","Q9H999","79646","hsa00770",1.978768674,8.16e-06,"up","Pank3",-1.79344031,4.06e-09,"down","diff"
"PAPSS1","O43252","9061","hsa00230",1.903512231,0.000390659,"up","Papss1",-5.988402884,3.03e-35,"down","diff"
"PCCA","P05165","5095","hsa00280",1.966825059,0.000961101,"up","Pcca",0.409766572,0.316702645,"none","none"
"PCYT1A","B4E322","5130","hsa00564",1.868693696,0.001346021,"up","Pcyt1a",-2.866768848,2.32e-20,"down","diff"
"PCYT1B","Q9Y5K3","9468","hsa00564",-5.574496547,0.000425541,"down","Pcyt1b",-1.503722099,0.00031124,"down","same"
"PDE10A","A0A1B1UZR0","10846","hsa00230",-2.803310378,0.058078528,"none","Pde10a",-9.706368036,2.31e-15,"down","none"
"PDE11A","Q9HCR9","50940","hsa00230",-5.906436673,7.84e-09,"down","Pde11a",-6.8858858,1.73e-05,"down","same"
"PDE3A","Q14432","5139","hsa00230",-2.741036392,0.000969545,"down","Pde3a",-5.812169707,8.51e-20,"down","same"
"PDE3B","A7E2E5","5140","hsa00230",0.348738214,0.82575712,"none","Pde3b",-5.338009022,1.25e-83,"down","none"
"PDE4A","P27815","5141","hsa00230",1.831875582,0.016951962,"up","Pde4a",-0.825443294,0.206944053,"none","none"
"PDE4B","Q07343","5142","hsa00230",-1.442433221,NA,"none","Pde4b",-4.887216342,8.55e-06,"down","none"
"PDE4C","O43849","5143","hsa00230",-2.892483411,NA,NA,"Pde4c",-4.054326214,0.00663873,"down",NA
"PDE6A","P16499","5145","hsa00230",-3.770103414,0.263747402,"none","Pde6a",-4.568198534,3.79e-15,"down","none"
"PDE6C","P51160","5146","hsa00230",-3.405204641,3.16e-06,"down","Pde6c",-0.573900653,NA,"none","none"
"PDE6G","P18545","5148","hsa00230",3.783803608,0.000526325,"up","Pde6g",-7.249180715,3.14e-06,"down","diff"
"PDE7A","Q13946","5150","hsa00230",0.84578353,0.157884945,"none","Pde7a",3.214537421,4.37e-27,"up","none"
"PDE7B","Q9NP56","27115","hsa00230",-3.147086933,NA,NA,"Pde7b",-5.491807093,0.00086855,"down",NA
"PDE8B","B3KN77","8622","hsa00230",-5.957582706,1.55e-08,"down","Pde8b",-5.270202793,3.38e-14,"down","same"
"PDHB","P11177","5162","hsa00010",3.655443719,1.1e-12,"up","Pdhb",0.703592144,0.019584051,"none","none"
"PEMT","Q9UBM1","10400","hsa00564",3.745086422,5.05e-12,"up","Pemt",0.123519741,0.690695433,"none","none"
"PFAS","A8K9T9","5198","hsa00230",1.103446129,0.261982877,"none","Pfas",2.85281003,1.24e-22,"up","none"
"PFKL","P17858","5211","hsa00052",3.199926408,4.34e-08,"up","Pfkl",-1.456037812,0.023733275,"none","none"
"PFKP","Q01813","5214","hsa00052",0.953242605,0.032933177,"none","Pfkp",-1.622529397,0.031860153,"down","none"
"PGK1","P00558","5230","hsa00010",4.513178806,1.29e-19,"up","Pgk1",-0.750759754,0.034864353,"none","none"
"PGLS","A0A0K0K1K7","25796","hsa00030",2.570444716,8.28e-06,"up","Pgls",4.734869983,1.08e-09,"up","same"
"PGM2","Q96G03","55276","hsa00230",4.397619812,2.1e-24,"up","Pgm1",2.823430887,5.98e-05,"up","same"
"PGP","A6NDG6","283871","hsa00630",2.298498834,9.36e-08,"up","Pgp",0.810843114,0.063222278,"none","none"
"PHGDH","O43175","26227","hsa00260",3.642589707,1.48e-06,"up","Phgdh",2.090720843,2.23e-05,"up","same"
"PHOSPHO1","Q8TCT1","162466","hsa00564",-4.812820252,4.53e-29,"down","Phospho1",-3.741846536,0.218473378,"none","none"
"PIK3C2B","A2RUF7","5287","hsa00562",-1.730596369,0.080175788,"none","Pik3c2b",-1.566979172,4.48e-06,"down","none"
"PIK3CA","P42336","5290","hsa00562",-0.723987995,0.249432337,"none","Pik3ca",-2.27946247,2.19e-15,"down","none"
"PIK3CD","O00329","5293","hsa00562",-4.02990775,0.002844291,"down","Pik3cd",-5.356713643,9.37e-77,"down","same"
"PIP5K1C","O60331","23396","hsa00562",-0.998374703,0.177428278,"none","Pip5k1c",-1.713604616,5.79e-10,"down","none"
"PKLR","P30613","5313","hsa00010",-4.372313084,0.036134573,"down","Pklr",-4.672021917,0.013648275,"down","same"
"PLA2G10","O15496","8399","hsa00564",7.337895912,0.001327805,"up","Pla2g10",0.926320462,0.304387663,"none","none"
"PLA2G15","Q8NCC3","23659","hsa00564",-3.229501682,7.72e-06,"down","Pla2g15",-0.326126463,0.241097707,"none","none"
"PLA2G3","Q9NZ20","50487","hsa00564",-0.456333314,NA,"none","Pla2g3",-5.746258479,0.003607878,"down","none"
"PLA2G4E","Q3MJ16","123745","hsa00564",2.792799662,NA,NA,"Pla2g4e",-8.964832079,3.35e-16,"down",NA
"PLA2G4F","A5PKZ7","255189","hsa00564",4.30075496,6.72e-10,"up","Pla2g4f",2.076853978,0.066283034,"none","none"
"PLA2G5","P39877","5322","hsa00564",0.177676575,NA,"none","Pla2g5",6.579060687,3.24e-07,"up","none"
"PLB1","B2RWP8","151056","hsa00564",-2.963811322,0.000414209,"down","Plb1",4.265331293,1.53e-24,"up","diff"
"PLCB1","Q9NQ66","23236","hsa00562",-0.936564832,0.151615125,"none","Plcb1",-8.575640057,3.59e-31,"down","none"
"PLCB4","Q15147","5332","hsa00562",2.987078353,1.24e-05,"up","Plcb4",-0.62615553,0.374208043,"none","none"
"PLCD1","A8K8F9","5333","hsa00562",1.987245273,0.023431267,"up","Plcd1",5.067933497,2.05e-10,"up","same"
"PLCD3","Q8N3E9","113026","hsa00562",1.247322184,0.04915272,"none","Plcd3",3.370571113,0.000468455,"up","none"
"PLCG1","P19174","5335","hsa00562",0.416818097,0.698264252,"none","Plcg1",3.060209053,6.42e-18,"up","none"
"PLCH2","O75038","9651","hsa00562",-3.069677135,0.290897394,"none","Plch2",-3.572052398,1.52e-05,"down","none"
"PLD1","Q13393","5337","hsa00564",-1.539457928,0.064330375,"none","Pld1",-7.269942264,1.83e-42,"down","none"
"PLD2","O14939","5338","hsa00564",-1.355993169,0.022340497,"none","Pld2",-3.644216367,2.87e-12,"down","none"
"PLD4","B4DI07","122618","hsa00564",2.77405677,NA,NA,"Pld4",-6.883812507,0.000110831,"down",NA
"PMM2","A0A0S2Z4J6","5373","hsa00520",0.817246982,0.095517734,"none","Pmm2",1.734497923,0.001498396,"up","none"
"PNP","P00491","4860","hsa00230",1.715153056,8.78e-05,"up","Pnp",-2.787516039,1.04e-35,"down","diff"
"PNPLA2","Q96AD5","57104","hsa00561",-1.876346759,5.22e-05,"down","Pnpla2",0.674648539,0.13115683,"none","none"
"PNPLA6","Q8IY17","10908","hsa00564",0.492209391,0.742243673,"none","Pnpla6",2.314232566,5.7e-10,"up","none"
"PPA1","Q15181","5464","hsa00190",1.834243773,0.000590931,"up","Ppa1",0.845086136,0.000629463,"none","none"
"PPA2","Q9H2U2","27068","hsa00190",1.938403068,3.18e-05,"up","Ppa2",0.701539617,0.002436776,"none","none"
"PPAT","A8K4H7","5471","hsa00250",2.007891516,0.000171142,"up","Ppat",-0.248530065,0.340041874,"none","none"
"PPCS","Q9HAB8","79717","hsa00770",4.162815598,1.25e-20,"up","Ppcs",0.928361774,0.169822782,"none","none"
"PPT1","P50897","5538","hsa00062",1.607515758,0.000785092,"up","Ppt1",0.988226505,0.004326139,"none","none"
"PPT2","A0A1U9X8D2","9374","hsa00062",-1.511927919,0.003362016,"down","Ppt2",-1.37189974,0.007790796,"none","none"
"PRDX6","P30041","9588","hsa00480",3.250162527,1.83e-14,"up","Prdx6",3.175549274,4.78e-27,"up","same"
"PRODH","O43272","5625","hsa00330",3.862727664,0.061034317,"none","Prodh",3.989614347,4.47e-14,"up","none"
"PTDSS1","P48651","9791","hsa00564",-0.325749622,0.541288358,"none","Ptdss1",2.155420314,1.89e-31,"up","none"
"PTEN","F6KD01","5728","hsa00562",-1.637389197,0.000488085,"down","Pten",-0.962813378,0.000488913,"none","none"
"RBKS","Q9H477","64080","hsa00030",3.003862868,0.007368925,"up","Rbks",3.73349309,3.44e-06,"up","same"
"RENBP","P51606","5973","hsa00520",-2.889141389,0.309685571,"none","Renbp",2.679825072,1e-21,"up","none"
"RGN","Q15493","9104","hsa00030",6.176291245,0.038692819,"up","Rgn",-3.201489418,0.006944611,"down","diff"
"RIMKLA","Q8IXN7","284716","hsa00250",-4.882523494,1.61e-17,"down","Rimkla",-4.998687568,1.04e-30,"down","same"
"RIMKLB","Q9ULI2","57494","hsa00250",3.200967917,9.22e-11,"up","Rimklb",-6.595939003,6.48e-55,"down","diff"
"RPIA","P49247","22934","hsa00030",-1.512060081,0.001669737,"down","Rpia",-0.291553997,0.232885943,"none","none"
"RRM2B","Q7LG56","50484","hsa00480",0.057239481,0.922879849,"none","Rrm2b",-5.305807246,5.29e-135,"down","none"
"SARDH","A8K596","1757","hsa00260",-2.960084357,0.000705378,"down","Sardh",-9.341160217,2.06e-16,"down","same"
"SAT1","P21673","6303","hsa00330",3.853965234,1.14e-18,"up","Sat1",2.128076536,4.09e-11,"up","same"
"SCD","O00767","6319","hsa01040",0.316053727,0.668341106,"none","Scd1",3.356692028,5.58e-33,"up","none"
"SCP2","B2R761","6342","hsa01040",3.493009659,9.14e-16,"up","Scp2",2.190708493,8.7e-12,"up","same"
"SDHB","P21912","6390","hsa00020",2.011269803,9.45e-07,"up","Sdhb",3.672015364,1.17e-26,"up","same"
"SDHC","A0A0S2Z4B7","6391","hsa00020",-1.009767819,0.09683067,"none","Sdhc",2.387928617,2.06e-11,"up","none"
"SDS","P20132","10993","hsa00270",-8.427295463,7.17e-06,"down","Sds",-0.058713509,NA,"none","none"
"SHMT1","P34896","6470","hsa00260",4.692621342,1.63e-12,"up","Shmt1",-0.522672506,0.062981801,"none","none"
"SHPK","A0A0B4J2A0","23729","hsa00030",1.064140062,0.126078325,"none","Shpk",2.450008504,0.038858935,"up","none"
"SMOX","Q9NWM0","54498","hsa00330",-2.076569444,4.97e-06,"down","Smox",-3.025794726,7.17e-08,"down","same"
"SORD","Q00796","6652","hsa00051",1.028543532,0.546778369,"none","Sord",3.532209503,5.42e-26,"up","none"
"SRD5A2","P31213","6716","hsa00140",-6.347191574,0.029324442,"down","Srd5a2",-4.407513669,0.177047969,"none","none"
"SRD5A3","Q9H8P0","79644","hsa00140",3.198309568,NA,NA,"Srd5a3",-2.933073596,1.11e-18,"down",NA
"SRM","P19623","6723","hsa00330",1.410528817,0.003264391,"none","Srm",1.732274129,4.48e-08,"up","none"
"ST3GAL4","Q11206","6484","hsa00601",-3.472795927,6.1e-09,"down","St3gal4",8.719511983,1.16e-08,"up","diff"
"ST8SIA1","Q92185","6489","hsa00601",-2.691667793,0.016112919,"down","St8sia1",0.3878491,0.675769468,"none","none"
"SUCLA2","E5KS60","8803","hsa00640",3.99244862,2.44e-20,"up","Sucla2",2.190855455,2.56e-08,"up","same"
"SUCLG1","P53597","8802","hsa00020",3.57117435,8.66e-10,"up","Suclg1",6.571492407,6.48e-55,"up","same"
"SULT2A1","A8K015","6822","hsa00980",4.183516575,2.31e-09,"up","Sult2a3",6.497834718,0.001541898,"up","same"
"SULT2B1","O00204","6820","hsa00140",-0.388791501,0.814483502,"none","Sult2b1",-1.88428577,1.37e-05,"down","none"
"TALDO1","A0A140VK56","6888","hsa00030",1.956353234,5.64e-06,"up","Taldo1",1.583137116,3.35e-10,"up","same"
"TAT","A0A140VKB7","6898","hsa00270",-5.165186109,0.04334381,"down","Tat",7.026955373,2.61e-08,"up","diff"
"THEM4","A8K0C9","117145","hsa00062",2.969602629,4.78e-06,"up","Them4",0.302731539,0.699749684,"none","none"
"THEM5","Q8N1Q8","284486","hsa00062",1.504692851,0.485650864,"none","Them5",4.503702757,0.031702412,"up","none"
"TKT","P29401","7086","hsa00030",1.427305505,0.013768478,"none","Tkt",4.511201096,1.9e-52,"up","none"
"TPH2","Q8IWU9","121278","hsa00380",-7.121928867,0.001636548,"down","Tph2",-5.712577543,6.18e-14,"down","same"
"TPI1","P60174","7167","hsa00562",4.618939635,2.12e-33,"up","Tpi1",1.329485421,0.00197175,"none","none"
"TST","Q16762","7263","hsa00270",2.681137492,0.00440573,"up","Tst",5.792934107,1.54e-07,"up","same"
"TXNDC12","O95881","51060","hsa00480",1.726804105,0.025019308,"up","Txndc12",4.466553159,7.86e-48,"up","same"
"TYMP","B2RBL3","1890","hsa00240",3.319113737,0.004744554,"up","Tymp",1.06189838,0.705575195,"none","none"
"TYMS","P04818","7298","hsa00240",2.653556305,1.33e-08,"up","Tyms",2.551367372,4.99e-16,"up","same"
"UAP1L1","Q3KQV9","91373","hsa00520",2.977898066,1.38e-05,"up","Uap1l1",0.62526148,0.279695732,"none","none"
"UGDH","O60701","7358","hsa00520",1.633059756,0.000426623,"up","Ugdh",2.527933388,3.65e-07,"up","same"
"UMPS","A8K5J1","7372","hsa00983",3.334648268,1.06e-10,"up","Umps",1.709496655,1.21e-11,"up","same"
"UPP1","B4DND0","7378","hsa00983",4.169294171,2.1e-24,"up","Upp1",2.451284863,6.51e-11,"up","same"
"UQCR10","Q9UDW1","29796","hsa00190",1.778517947,4.33e-05,"up","Uqcr10",3.293385722,3.44e-21,"up","same"
"UQCR11","O14957","10975","hsa00190",4.564991798,3.79e-25,"up","Uqcr11",3.68687747,1.26e-13,"up","same"
"UQCRB","P14927","7381","hsa00190",2.284044002,9.9e-08,"up","Uqcrb",3.798257465,3.07e-20,"up","same"
"UQCRC1","P31930","7384","hsa00190",3.523725088,5.51e-17,"up","Uqcrc1",3.822771831,1.29e-20,"up","same"
"UQCRC2","P22695","7385","hsa00190",1.321809623,0.009154681,"none","Uqcrc2",3.68617715,9.34e-51,"up","none"
"UQCRFS1","P47985","7386","hsa00190",1.807874368,1.22e-05,"up","Uqcrfs1",2.016519265,9.54e-09,"up","same"
"UQCRHL","A0A096LP55","440567","hsa00190",2.824952803,7.14e-07,"up","Uqcrh",3.487719973,6.51e-10,"up","same"
"UQCRQ","O14949","27089","hsa00190",0.928862894,0.035250327,"none","Uqcrq",3.815156058,4.89e-33,"up","none"
"URAD","A6NGE7","646625","hsa00230",5.861843509,0.010273257,"up","Urad",-0.09983414,0.97613749,"none","none"
"UXS1","Q8NBZ7","80146","hsa00520",-2.613093505,1.17e-09,"down","Uxs1",-1.7253393,2.76e-05,"down","same"
"XDH","P47989","7498","hsa00983",3.799371009,0.126085955,"none","Xdh",-6.662273367,6.69e-05,"down","none"
